BG19_010	Sewer Rat
BG19_010_G	Sewer Rat
BG19_010_Gt	Half-Shell
BG19_010t	Half-Shell
BG20_100	Razorfen Geomancer
BG20_100_G	Razorfen Geomancer
BG20_101	Roadboar
BG20_101_G	Roadboar
BG20_102	Tough Tusk
BG20_102_G	Tough Tusk
BG20_102_Ge	Real Tough
BG20_102e	Toughened
BG20_103	Bristleback Brute
BG20_103_G	Bristleback Brute
BG20_104	Bonker
BG20_104_G	Bonker
BG20_105	Thorncaller
BG20_105_G	Thorncaller
BG20_106	Groundshaker
BG20_106_G	Groundshaker
BG20_106e	Groundshook
BG20_201	Bannerboar
BG20_201_G	Bannerboar
BG20_203	Prophet of the Boar
BG20_203_G	Prophet of the Boar
BG20_204	Bristleback Knight
BG20_204_G	Bristleback Knight
BG20_205	Agamaggan, the Great Boar
BG20_205_G	Agamaggan, the Great Boar
BG20_206	Captain Flat Tusk
BG20_206_G	Captain Flat Tusk
BG20_301	Sun-Bacon Relaxer
BG20_301_G	Sun-Bacon Relaxer
BG20_302	Aggem Thorncurse
BG20_302_G	Aggem Thorncurse
BG20_303	Charlga
BG20_303_G	Charlga
BG20_304	Archdruid Hamuul
BG20_304_G	Archdruid Hamuul
BG20_GEM	Blood Gem
BG20_GEM_No_Impact	Blood Gem No Impact
BG20_GEM_No_Impact_No_Target	Blood Gem No Impact No Target
BG20_GEMe	Blood Gem
BG20_GEMe2	Blood Gems
BG20_GEMt	Mass Blood Gem
BG20_HERO_100	Rokara
BG20_HERO_100_Buddy	Icesnarl the Mighty
BG20_HERO_100_Buddy_G	Icesnarl the Mighty
BG20_HERO_100_Buddy_e	Snarling
BG20_HERO_100_SKIN_A4	Rokara, Arcane Warrior
BG20_HERO_100_SKIN_B	Mrrkara
BG20_HERO_100_SKIN_C	Rustlin' Rokara
BG20_HERO_100_SKIN_D	Rocker Rokara
BG20_HERO_100_SKIN_E	Keeper Rokara
BG20_HERO_100_SKIN_F	Arena-Champion Rokara
BG20_HERO_100_SKIN_G	Explorer Rokara
BG20_HERO_100p	Glory of Combat
BG20_HERO_100p_e2	Glory
BG20_HERO_101	Xyrella
BG20_HERO_101_Buddy	Baby Elekk
BG20_HERO_101_Buddy_G	Baby Elekk
BG20_HERO_101_Buddy_e	Elekk-tion
BG20_HERO_101_SKIN_A	Empyreal Xyrella
BG20_HERO_101_SKIN_B	Elekkhandler Xyrella
BG20_HERO_101_SKIN_C	Xyrella the Elegant
BG20_HERO_101_SKIN_D2	Festival Guardian Xyrella
BG20_HERO_101_SKIN_E4	Xyrella, Mi'da's Champion
BG20_HERO_101_SKIN_F	Lightkeeper Xyrella
BG20_HERO_101_SKIN_G	Rapunzel Xyrella
BG20_HERO_101_SKIN_H	Man'ari Xyrella
BG20_HERO_101p	See the Light
BG20_HERO_101pe2	Pledge of Peace
BG20_HERO_102	Overlord Saurfang
BG20_HERO_102_Buddy	Dranosh Saurfang
BG20_HERO_102_Buddy_G	Dranosh Saurfang
BG20_HERO_102_Buddye	Vigor of the Horde
BG20_HERO_102_SKIN_A	Sea Admiral Saurfang
BG20_HERO_102_SKIN_B	Chargeleader Saurfang
BG20_HERO_102_SKIN_C	Guan Yu Saurfang
BG20_HERO_102_SKIN_D	Colossal Dragonplate Saurfang
BG20_HERO_102_SKIN_E4	Shadow Helm Saurfang
BG20_HERO_102e	For the Horde!
BG20_HERO_102p	For the Horde!
BG20_HERO_102pe	Horde Hoard
BG20_HERO_103	Death Speaker Blackthorn
BG20_HERO_103_Buddy	Death's Head Sage
BG20_HERO_103_Buddy_G	Death's Head Sage
BG20_HERO_103_SKIN_A	Tidespeaker Blackthorn
